Date,Station,SiteEngName,Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/1/1,三重,Sanchong,PM2.5,45,45,40,39,33,34,30,33,37,40,34,25,27,30,38,30,33,28,30,26,22,22,19,20
2014/1/1,土城,Tucheng,PM2.5,31,28,28,31,30,28,30,33,36,39,36,30,28,32,37,30,30,31,30,30,27,25,23,29
2014/1/1,士林,Shilin,PM2.5,22,24,29,31,37,37,36,37,48,52,46,27,23,18,26,22,24,20,24,25,23,19,16,14
2014/1/1,大同,Datong,PM2.5,40,33,34,22,26,24,27,28,32,34,33,30,22,21,18,26,22,22,18,21,24,28,25,26
2014/1/1,大園,Dayuan,PM2.5,31,29,31,28,32,39,43,37,42,36,36,31,36,32,32,28,32,29,32,26,25,25,30,31
2014/1/1,中山,Zhongshan,PM2.5,40,35,35,25,29,31,21,26,24,34,24,24,20,26,23,24,27,27,31,26,24,17,21,17
2014/1/1,中壢,Zhongli,PM2.5,31,35,35,40,35,33,39,44,48,45,41,36,29,25,21,25,30,39,40,36,33,31,30,31
2014/1/1,古亭,Guting,PM2.5,17,18,26,28,25,20,23,22,24,28,31,27,24,27,29,34,28,28,24,26,20,15,8,17
2014/1/1,平鎮,Pingzhen,PM2.5,30,33,39,31,26,29,35,41,35,42,30,32,25,32,29,29,28,34,37,38,35,32,30,31
2014/1/1,永和,Yonghe,PM2.5,33,35,32,31,30,31,33,32,33,33,31,29,25,29,32,28,26,25,26,26,25,23,22,21
2014/1/1,汐止,Xizhi,PM2.5,33,40,34,31,32,31,28,30,36,38,35,30,30,30,31,29,27,30,29,22,24,26,25,27
2014/1/1,松山,Songshan,PM2.5,24,24,26,29,24,23,19,27,28,31,30,27,26,17,22,25,30,29,25,28,22,24,23,24
2014/1/1,板橋,Banqiao,PM2.5,26,28,30,29,28,24,28,33,32,31,31,34,35,33,34,29,24,26,28,27,31,31,26,25
2014/1/1,林口,Linkou,PM2.5,34,37,35,32,31,29,29,37,38,34,33,31,30,33,37,36,33,31,30,27,24,25,24,24
2014/1/1,桃園,Taoyuan,PM2.5,30,33,30,32,29,21,26,28,35,29,36,28,32,20,21,21,22,28,23,30,28,32,28,26
2014/1/1,基隆,Keelung,PM2.5,31,28,27,26,25,25,27,34,41,33,24,27,26,26,26,27,26,28,27,24,25,25,25,26
2014/1/1,淡水,Tamsui,PM2.5,26,28,31,35,36,31,29,28,33,45,40,26,25,28,26,24,26,25,26,24,20,23,22,23
2014/1/1,菜寮,Cailiao,PM2.5,40,45,50,48,38,34,35,40,44,41,30,29,28,26,25,26,29,30,26,24,24,23,23,24
2014/1/1,陽明,Yangming,PM2.5,19,19,16,15,38,23,23,22,21,21,23,22,25,21,22,23,22,19,19,19,20,21,19,18
2014/1/1,新店,Xindian,PM2.5,23,25,27,23,21,26,24,25,27,28,31,31,31,28,26,25,26,26,26,25,22,23,22,23
2014/1/1,新莊,Xinzhuang,PM2.5,32,36,40,36,31,31,34,36,35,34,31,25,22,24,26,23,22,24,25,23,24,27,24,21
2014/1/1,萬里,Wanli,PM2.5,31,26,22,28,27,25,27,26,29,29,26,24,24,25,25,22,22,23,22,25,25,22,21,23
2014/1/1,萬華,Wanhua,PM2.5,20,31,32,28,26,23,23,26,27,34,28,27,23,26,23,24,27,32,34,28,24,19,21,30
2014/1/1,龍潭,Longtan,PM2.5,40,37,40,37,32,30,30,37,38,40,39,29,26,22,28,28,29,33,37,38,38,32,35,36
2014/1/1,觀音,Guanyin,PM2.5,39,42,45,42,38,37,38,39,35,31,29,27,23,24,24,33,28,36,30,38,29,33,25,26
